Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) tmax(C) tmin(C) vp(Pa),, prcp(mm/day) ,srad(W/m2), tmax(C) ,tmin(C) ,vp(Pa),Runoff (t-1),FFNN-Runoff(t-1),,,Runoff (t)
1984 11 28 12,35596.83,15.72,188.32,22.42,7.43,1019.32,27,27,,,32
1984 11 29 12,35596.83,0,286.04,14.59,-3,479,32,32,,,43
1984 11 30 12,35596.83,0,289.99,14.99,-3.3,468.09,43,43,,,57
1984 12 01 12,35596.83,0.35,280.24,17.86,-0.98,548.8,57,57,,,67
1984 12 02 12,35591.22,0,256.51,16.87,1.11,644.05,67,67,,,58
1984 12 03 12,35482.51,16.35,150.57,16.21,4.65,851.79,58,58,,,56
1984 12 04 12,35351.64,0,279.74,16.91,-1.63,547.48,56,56,,,63
1984 12 05 12,35251.2,23.39,151.33,11.98,0.23,617.21,63,63,,,91
1984 12 06 12,35251.2,12.83,56.31,5.42,1.75,699.6,91,91,,,252
1984 12 07 12,35251.2,0,249.39,7.23,-7.56,351.65,252,252,,,233
1984 12 08 12,35251.2,0,254.28,8.98,-6.34,373.31,233,233,,,132
1984 12 09 12,35251.2,0,274.5,14.86,-2.96,492.95,132,132,,,86
1984 12 10 12,35251.2,0,266.79,15.95,-1.13,563.36,86,86,,,69
1984 12 11 12,35251.2,0,224.26,16.4,3.1,767.5,69,69,,,59
1984 12 12 12,35245.58,0,251.84,18.56,2.68,737.26,59,59,,,53
1984 12 13 12,35225.77,0,249.63,19.65,3.88,801.39,53,53,,,53
1984 12 14 12,35190.87,0,255.47,22.12,5.56,920,53,53,,,48
1984 12 15 12,35136.88,0,270.62,23.08,4.82,865.58,48,48,,,47
1984 12 16 12,35071.75,0,253.5,21.88,5.63,920,47,47,,,46
1984 12 17 12,35071.75,0,221.83,20.16,7,1000,46,46,,,46
1984 12 18 12,35006.02,0,254.24,24.12,7.72,1057.55,46,46,,,44
1984 12 19 12,35006.02,0,242.72,25.02,9.59,1207.45,44,44,,,40
1984 12 20 12,35006.02,0,221.44,24.61,11.05,1323.86,40,40,,,44
1984 12 21 12,35006.02,0.05,216.79,24.09,11,1320,44,44,,,45
1984 12 22 12,35006.02,0.15,181.05,21.48,11.11,1329.14,45,45,,,45
1984 12 23 12,35071.75,0.63,244.07,18.2,3.67,799.75,45,45,,,47
1984 12 24 12,35071.75,0,249.01,16.22,1.66,691.79,47,47,,,45
1984 12 25 12,35136.88,0,256.14,21.01,5.45,906.54,45,45,,,45
1984 12 26 12,35190.87,0,262.04,21.5,5.49,919.08,45,45,,,43
1984 12 27 12,35225.77,0,164.91,13.95,5.66,920,43,43,,,43
1984 12 28 12,35245.58,0,268.67,21.84,5.48,918.17,43,43,,,41
1984 12 29 12,35251.2,0,271.78,24.48,7.39,1030.84,41,41,,,42
1984 12 30 12,35251.2,0,253.44,25.27,10,1240,42,42,,,43
1984 12 31 12,35251.2,0,262.61,24.87,8.69,1135.42,43,43,,,45
1985 01 01 12,35251.2,0,257.54,24.16,10.07,1245.66,45,45,,,44
1985 01 02 12,35251.2,0,213.74,24.8,13.84,1587.53,44,44,,,46
1985 01 03 12,35251.2,39.35,156.86,20.12,10.01,1240.76,46,46,,,276
1985 01 04 12,35251.2,29.54,164.76,11.88,1.83,706.34,276,276,,,1060
1985 01 05 12,35253.89,0.54,198.51,6.87,-2.01,521.02,1060,1060,,,907
1985 01 06 12,35417.39,0,277.29,8.87,-4.78,440,907,907,,,344
1985 01 07 12,35571.41,0,298.31,12.02,-3.77,455.6,344,344,,,193
1985 01 08 12,35596.83,0,290.7,13.49,-1.52,558.73,193,193,,,141
1985 01 09 12,35596.83,0,271.15,11.18,-1.85,532.23,141,141,,,115
1985 01 10 12,35596.83,0,202.46,7.94,-0.72,578.23,115,115,,,96
1985 01 11 12,35596.83,0,155.98,7.45,1.02,641.99,96,96,,,85
1985 01 12 12,35632.05,0,294.97,11.44,-3.3,478.13,85,85,,,78
1985 01 13 12,35828.06,0,296.49,6.89,-7.5,359.82,78,78,,,72
1985 01 14 12,35942.39,0,307.85,10.71,-4.92,438.56,72,72,,,69
1985 01 15 12,35942.39,0,264.56,9.7,-2.21,519.25,69,69,,,66
1985 01 16 12,35942.39,0,306.48,9.07,-5.94,400,66,66,,,68
1985 01 17 12,35942.39,14.01,208.76,9.19,-3.44,469.44,68,68,,,82
1985 01 18 12,36173.67,3.48,179.24,9.19,-0.68,580.77,82,82,,,142
1985 01 19 12,36288,0,260.71,10.94,-0.44,595.65,142,142,,,181
1985 01 20 12,36288,0,286.2,11.3,-1.67,548.85,181,181,,,142
1985 01 21 12,36288,0,357.33,0.8,-19.1,120,142,142,,,107
1985 01 22 12,36323.24,0,332.09,-0.96,-16.85,160,107,107,,,89
1985 01 23 12,36608.18,0,336.42,6.32,-10.24,280,89,89,,,80
1985 01 24 12,36633.6,0,319.29,8.63,-6.15,381.74,80,80,,,81
1985 01 25 12,36633.6,0,322.52,12.69,-2.56,511.64,81,81,,,84
1985 01 26 12,36636.29,0,360.48,11.95,-7.59,349.39,84,84,,,82
1985 01 27 12,36953.79,0,338,6.17,-9.58,280,82,82,,,79
1985 01 28 12,36979.21,1.66,327.56,8.46,-5.45,410.01,79,79,,,79
1985 01 29 12,36979.21,3.37,114.29,5.11,-0.13,600,79,79,,,77
1985 01 30 12,37014.46,0,264.25,8.39,-2.01,525.21,77,77,,,87
1985 01 31 12,37324.82,13.41,207.17,12.58,1.45,675.77,87,87,,,332
1985 02 01 12,37324.82,20.59,216.73,19.06,6.78,982.71,332,332,,,1200
1985 02 02 12,37324.82,52.84,198.4,20.69,9.7,1216.26,1200,1200,,,6430
1985 02 03 12,37610.05,13.26,258.32,15.34,2.34,722.05,6430,6430,,,4530
1985 02 04 12,37670.38,0,189.63,7.19,0.47,630.91,4530,4530,,,1060
1985 02 05 12,37670.38,16.85,178.83,8.22,-0.36,599.03,1060,1060,,,2780
1985 02 06 12,37705.62,55.01,102.3,4.26,-0.16,604.29,2780,2780,,,11400
1985 02 07 12,38016.01,0,332.54,10.67,-2.28,520,11400,11400,,,5720
1985 02 08 12,38016.01,0,374.37,9.51,-6.56,363.95,5720,5720,,,1470
1985 02 09 12,38016.01,0,383.36,8.7,-8.24,320,1470,1470,,,679
1985 02 10 12,38361.6,0,403.47,13.21,-7.2,360,679,679,,,490
1985 02 11 12,38361.6,0,398.94,15.99,-3.87,448.02,490,490,,,386
1985 02 12 12,38361.6,12.51,283.8,14.19,-2.71,499.37,386,386,,,622
1985 02 13 12,38707.19,0,231.47,3.95,-3.87,451.35,622,622,,,717
1985 02 14 12,38707.19,0,332.94,8.35,-4.17,440,717,717,,,447
1985 02 15 12,38707.19,0,373.23,9.97,-5.12,429.61,447,447,,,343
1985 02 16 12,39052.82,0,388.19,9.16,-7,360,343,343,,,296
1985 02 17 12,39052.82,0,391.73,11.74,-4.94,440,296,296,,,267
1985 02 18 12,39052.82,0,400.84,16.9,-1.22,560,267,267,,,247
1985 02 19 12,39398.4,0,365.92,15.6,0.71,640,247,247,,,235
1985 02 20 12,39398.4,15.76,160.18,12.63,5.49,918.84,235,235,,,325
1985 02 21 12,39398.4,0,395.65,15.67,-0.65,587.66,325,325,,,633
1985 02 22 12,39743.98,0,405.92,18.49,1.1,648.07,633,633,,,424
1985 02 23 12,39743.98,0,350.47,21.18,7.67,1053.72,424,424,,,330
1985 02 24 12,39743.98,0,327.61,23.44,11.08,1326.1,330,330,,,292
1985 02 25 12,40089.6,2.86,262.1,23.4,12.13,1410.62,292,292,,,269
1985 02 26 12,40089.6,2.29,188.15,19.58,12.96,1478.68,269,269,,,260
1985 02 27 12,40124.83,1.03,225.01,19.6,11.8,1383.71,260,260,,,260
1985 02 28 12,40435.21,0,420.56,21.34,4.24,824.49,260,260,,,248
1985 03 01 12,40435.21,0,388.4,17.69,3.58,796.6,248,248,,,233
1985 03 02 12,40755.38,0.06,307.28,15.51,5.64,915.94,233,233,,,231
1985 03 03 12,40780.8,0,411.06,20.74,4.99,878.92,231,231,,,230
1985 03 04 12,40780.8,0,417.91,22.54,6.03,930.18,230,230,,,227
1985 03 05 12,41126.39,0,402.01,25.87,9.99,1238.86,227,227,,,224
1985 03 06 12,41126.39,0,457.05,22.99,2.7,738.24,224,224,,,221
1985 03 07 12,41126.39,0,437.93,18.24,0.66,639.99,221,221,,,215
1985 03 08 12,41471.98,0,431.52,19.49,2.08,720,215,215,,,201
1985 03 09 12,41471.98,0,436.56,25.66,6.74,979.21,201,201,,,192
1985 03 10 12,41638.14,0,459.48,24.35,3.65,794,192,192,,,187
1985 03 11 12,41817.61,0,412.36,21.88,5.73,920,187,187,,,184
1985 03 12 12,41817.61,0,355.29,23.8,10.81,1305.16,184,184,,,183
1985 03 13 12,42163.22,0,490.58,25.2,1.49,679.65,183,183,,,176
1985 03 14 12,42163.22,0,469.26,25.71,4.76,860.82,176,176,,,172
1985 03 15 12,42163.22,0,431.04,25.91,8.19,1095.4,172,172,,,168
1985 03 16 12,42508.8,0,436.48,19.35,2.31,720,168,168,,,163
1985 03 17 12,42508.8,3,288.92,16.65,4.66,852.87,163,163,,,157
1985 03 18 12,42544.02,0,453.07,17.93,0.28,624.35,157,157,,,150
1985 03 19 12,42854.39,0,481.61,14.96,-4.5,440,150,150,,,146
1985 03 20 12,42854.39,0,494.55,18.63,-2.47,520,146,146,,,142
1985 03 21 12,43199.98,0,448.26,20.2,2.86,747.99,142,142,,,141
1985 03 22 12,43199.98,17.85,233.52,13.46,3.31,782.06,141,141,,,136
1985 03 23 12,43199.98,1.53,193.09,10.18,3.83,800.35,136,136,,,210
1985 03 24 12,43545.6,0,415.11,20.47,5.7,921.33,210,210,,,196
1985 03 25 12,43545.6,0,477.52,20.18,1.5,680.34,196,196,,,154
1985 03 26 12,43855.98,0,474.2,19.32,1.02,642.76,154,154,,,118
1985 03 27 12,43891.2,0,478.17,22.65,3.47,793.84,118,118,,,110
1985 03 28 12,43891.2,0,407.55,24.91,9.68,1214.27,110,110,,,108
1985 03 29 12,44236.83,0,322.66,26.12,14.55,1655.04,108,108,,,110
1985 03 30 12,44236.83,0,351.95,28.75,15.73,1778.1,110,110,,,111
1985 03 31 12,44236.83,0,407.97,29.91,14.06,1605.13,111,111,,,115
1985 04 01 12,44582.39,2,473.81,27.08,7.58,1046.56,115,115,,,117
1985 04 02 12,44582.39,0,454.66,20,3.01,760.56,117,117,,,119
1985 04 03 12,44761.86,0,482.84,19.74,1.02,641.89,119,119,,,119
1985 04 04 12,44927.99,0,489.14,25.86,5.71,920.03,119,119,,,120
1985 04 05 12,44927.99,0,444.19,28.43,10.97,1317.91,120,120,,,122
1985 04 06 12,45273.6,17.93,321.1,24.74,8.92,1153.32,122,122,,,128
1985 04 07 12,45273.6,0,407.8,22.6,8.2,1096.23,128,128,,,138
1985 04 08 12,45273.6,0,515.55,24.98,3.52,789.62,138,138,,,145
1985 04 09 12,45619.18,0,465.18,17.91,1.26,663.59,145,145,,,135
1985 04 10 12,45619.18,0,469.05,16.92,0.22,618.92,135,135,,,119
1985 04 11 12,45644.6,0,481.57,19.36,1.62,689.79,119,119,,,107
1985 04 12 12,45964.79,0,510.34,24.74,4.39,830.96,107,107,,,103
1985 04 13 12,45964.79,0,427.65,25.46,10.23,1258.13,103,103,,,102
1985 04 14 12,46275.18,0.47,322.74,24.19,13.62,1563.9,102,102,,,101
1985 04 15 12,46310.4,2.05,205.54,20.8,14.4,1631.69,101,101,,,105
1985 04 16 12,46310.4,5.89,266.38,23.39,11.99,1399.48,105,105,,,115
1985 04 17 12,46656,1.19,434.91,24.85,10.08,1246.18,115,115,,,135
1985 04 18 12,46656,0,487.99,28.67,10.41,1273.05,135,135,,,122
1985 04 19 12,46656,0,508.38,28.96,9.37,1189.7,122,122,,,105
1985 04 20 12,47001.61,0,494.37,30.22,11.34,1347.18,105,105,,,96
1985 04 21 12,47001.61,0,486.34,31.11,12.38,1430.36,96,96,,,90
1985 04 22 12,47001.61,0,519.6,31.82,10.2,1250.06,90,90,,,85
1985 04 23 12,47347.21,0,490.86,31.26,11.83,1386.4,85,85,,,78
1985 04 24 12,47347.21,4.42,388.54,29.56,13.86,1588.85,78,78,,,80
1985 04 25 12,47347.21,15.85,314.82,28.21,13.5,1560,80,80,,,100
1985 04 26 12,47692.81,0,519.36,30.04,9.24,1178.97,100,100,,,150
1985 04 27 12,47692.81,0,457.25,30.93,13.88,1590.13,150,150,,,119
1985 04 28 12,47692.81,0,369.38,29.79,16.95,1915.78,119,119,,,93
1985 04 29 12,48038.4,0.73,379.56,30.41,16.37,1859.65,93,93,,,82
1985 04 30 12,48038.4,0,466.09,28.19,11.27,1341.25,82,82,,,71
1985 05 01 12,48038.4,0,479.11,27.56,10.11,1248.9,71,71,,,64
1985 05 02 12,48383.99,0,425.7,27.47,12.78,1465.89,64,64,,,67
1985 05 03 12,48383.99,21.11,167,22.09,15.36,1748.9,67,67,,,278
1985 05 04 12,48383.99,0,496.7,24.75,7.37,1005.82,278,278,,,589
1985 05 05 12,48694.35,0,495.17,23.98,6.87,960.58,589,589,,,226
1985 05 06 12,48729.61,0,506.66,26.76,8.55,1056.51,226,226,,,139
1985 05 07 12,48729.61,0,471.68,29.64,12.91,1375.93,139,139,,,104
1985 05 08 12,48789.93,0.21,417.98,29.88,16.07,1515.1,104,104,,,87
1985 05 09 12,49075.19,2.05,284.16,21.22,12.55,1432.09,87,87,,,77
1985 05 10 12,49075.19,2.53,216.22,20.65,13.76,1577.01,77,77,,,70
1985 05 11 12,49075.19,3.59,281.92,26.99,16.2,1807.74,70,70,,,82
1985 05 12 12,49385.59,0,383.29,29.04,17.34,1758.13,82,82,,,83
1985 05 13 12,49420.81,0,425.65,30.07,16.75,1607.94,83,83,,,77
1985 05 14 12,49420.81,0,483.27,32.46,16.29,1359.49,77,77,,,69
1985 05 15 12,49446.23,0,480.82,33.5,17.04,1418.74,69,69,,,63
1985 05 16 12,49763.71,0,473.57,32.65,16.59,1399.51,63,63,,,57
1985 05 17 12,49766.41,0,450.54,28.94,14.48,1286.68,57,57,,,50
1985 05 18 12,49766.41,0,461.15,26.44,11.93,1093,50,50,,,44
1985 05 19 12,49791.83,0,528.82,27.3,9.33,841.44,44,44,,,41
1985 05 20 12,50076.75,0,514.95,29.53,12.11,1011.54,41,41,,,38
1985 05 21 12,50111.99,0,487.88,31.03,14.87,1237.31,38,38,,,32
1985 05 22 12,50111.99,0,449.73,31.75,17.58,1406.8,32,32,,,34
1985 05 23 12,50111.99,7.11,324.8,30.34,16.88,1632.75,34,34,,,38
1985 05 24 12,50226.32,0,494.04,29.26,13.59,1087.15,38,38,,,34
1985 05 25 12,50457.61,0,429.46,25.02,12.55,1140.98,34,34,,,33
1985 05 26 12,50457.61,0,539.06,27.91,10.13,822.3,33,33,,,31
1985 05 27 12,50457.61,0,538.92,30.18,12.1,898.5,31,31,,,33
1985 05 28 12,50457.61,0,500.97,31.39,15.22,1132.43,33,33,,,30
1985 05 29 12,50571.95,9.53,343.79,30.45,15.95,1497.46,30,30,,,32
1985 05 30 12,50767.96,3.19,331.09,29.5,17.17,1722.84,32,32,,,33
1985 05 31 12,50803.17,0,378.87,28.27,17.36,1663.22,33,33,,,39
1985 06 01 12,50803.17,0,441.79,32.83,19.18,1670.6,39,39,,,46
1985 06 02 12,50803.17,0,522.57,36.24,17.75,1338.65,46,46,,,41
1985 06 03 12,50803.17,0.99,482.38,36.56,18.02,1445.03,41,41,,,39
1985 06 04 12,50828.59,0,500.04,37.54,19.99,1583.82,39,39,,,31
1985 06 05 12,50982.64,0,497.74,38.18,20.61,1644.6,31,31,,,27
1985 06 06 12,51113.55,0,464.67,37.65,21.84,1861.04,27,27,,,28
1985 06 07 12,51148.8,2.53,416.47,36.95,19.8,1767.51,28,28,,,30
1985 06 08 12,51148.8,16.7,354.98,33.65,17.48,1702.77,30,30,,,19
1985 06 09 12,51148.8,0,432.15,31.47,17.54,1665.11,19,19,,,10
1985 06 10 12,51148.8,0,442.33,34.67,19.67,1850.35,10,10,,,18
1985 06 11 12,51148.8,0,428.79,34.59,20.11,1931.48,18,18,,,34
1985 06 12 12,51148.8,7.55,242.75,30.99,20.68,2426.99,34,34,,,25
1985 06 13 12,51154.41,0,489.19,29.46,13.2,1232.01,25,25,,,27
1985 06 14 12,51174.22,0,496.65,27.96,11.56,1106.69,27,27,,,27
1985 06 15 12,51209.12,0,501.68,29.31,12.42,1155.55,27,27,,,24
1985 06 16 12,51263.11,17.37,319.99,29.18,15.42,1683.07,24,24,,,24
1985 06 17 12,51328.23,0,374.17,31,19.09,2074.97,24,24,,,33
1985 06 18 12,51328.23,0,372.47,32.58,20.6,2265.87,33,33,,,33
1985 06 19 12,51393.96,0.06,365.57,30.59,19.22,2109.3,33,33,,,39
1985 06 20 12,51393.96,1.25,392.41,27.01,14.85,1586.58,39,39,,,31
1985 06 21 12,51393.96,0,512.97,29.85,12.73,1150.38,31,31,,,22
1985 06 22 12,51393.96,0,492.42,31.2,14.85,1330.21,22,22,,,19
1985 06 23 12,51393.96,0,476.98,32.39,16.57,1499.34,19,19,,,17
1985 06 24 12,51328.23,0,440.68,33.47,18.99,1806.58,17,17,,,18
1985 06 25 12,51328.23,11.14,351.17,34.38,18.11,1890.48,18,18,,,19
1985 06 26 12,51263.11,0,455.92,34.27,18.98,1836.78,19,19,,,13
1985 06 27 12,51209.12,0,485.9,35.15,18.24,1691.36,13,13,,,9.2
1985 06 28 12,51174.22,0,403.02,29.76,17.34,1786.73,9.2,9.2,,,13
1985 06 29 12,51154.41,0,387.73,30.37,18.4,1933.98,13,13,,,14
1985 06 30 12,51148.8,17.58,271.57,29.77,18.59,2133.95,14,14,,,178
1985 07 01 12,51148.8,8,261.14,28.93,18.4,2116.37,178,178,,,51
1985 07 02 12,51148.8,6.72,347.06,29.32,17.18,1905.61,51,51,,,33
1985 07 03 12,51148.8,0,454.58,30.94,16.46,1723.19,33,33,,,20
1985 07 04 12,51148.8,0,450.89,31.94,17.5,1837.33,20,20,,,14
1985 07 05 12,51148.8,3.19,342.29,32.19,18.71,2113.6,14,14,,,20
1985 07 06 12,51148.8,5.35,268.19,29.65,19.13,2221.47,20,20,,,19
1985 07 07 12,51048.39,5.95,244.95,29.25,19.96,2319.98,19,19,,,21
1985 07 08 12,50917.51,0,427.22,31.99,19,2046.05,21,21,,,27
1985 07 09 12,50808.79,0,455.19,33.45,19.03,1991.03,27,27,,,20
1985 07 10 12,50803.17,0,466.07,35.39,20.01,2080.63,20,20,,,15
1985 07 11 12,50803.17,0,441.18,35.81,21.4,2314.78,15,15,,,13
1985 07 12 12,50803.17,2.39,418.8,34.5,19.45,2090.57,13,13,,,12
1985 07 13 12,50803.17,0.07,427.49,33.77,20.29,2212.48,12,12,,,23
1985 07 14 12,50702.79,21.68,354.27,34.13,19.5,2222.46,23,23,,,28
1985 07 15 12,50483.03,16.36,335.72,34.08,19.49,2270.93,28,28,,,331
1985 07 16 12,50457.61,10.62,385.43,33.69,19.72,2272.78,331,331,,,137
1985 07 17 12,50457.61,13.94,310.6,32.95,20,2320.7,137,137,,,174
1985 07 18 12,50457.61,0,372.37,31.39,20.3,2367.52,174,174,,,121
1985 07 19 12,50422.38,0,444.81,32.77,18.55,2116.28,121,121,,,69
1985 07 20 12,50137.41,0,449.46,33.71,18.99,2177.05,69,69,,,40
1985 07 21 12,50111.99,0,434.22,34.73,20.46,2383.51,40,40,,,28
1985 07 22 12,50111.99,0,414.47,34.47,21.16,2499.4,28,28,,,27
1985 07 23 12,50111.99,15.36,311.64,32.95,20,2319.81,27,27,,,76
1985 07 24 12,49945.82,3.26,265.58,29.56,20.39,2382.38,76,76,,,33
1985 07 25 12,49766.41,9.32,218.91,28.35,20.45,2392.09,33,33,,,29
1985 07 26 12,49766.41,6.68,251.66,30.19,20.88,2461.25,29,29,,,34
1985 07 27 12,49766.41,8.76,247.89,29.89,20.92,2467.56,34,34,,,33
1985 07 28 12,49600.27,11.76,312.58,30.91,20.51,2401.55,33,33,,,72
1985 07 29 12,49420.81,15.7,215.83,28.5,21.01,2480.94,72,72,,,129
1985 07 30 12,49420.81,12.58,244.46,29.81,21.13,2501.22,129,129,,,407
1985 07 31 12,49420.81,0,373.74,31.79,21.33,2532.64,407,407,,,601
1985 08 01 12,49135.52,0.26,365.6,32.4,21.93,2628.35,601,601,,,245
1985 08 02 12,49075.19,7.62,316.28,32.2,20,2320,245,245,,,112
1985 08 03 12,49075.19,0,419.64,28,16.74,1898.88,112,112,,,70
1985 08 04 12,49039.95,0,485.28,28.46,14.35,1628.3,70,70,,,57
1985 08 05 12,48729.61,0,475.75,28.49,14.7,1673.02,57,57,,,44
1985 08 06 12,48729.61,0,440.59,29.31,16.79,1906.4,44,44,,,33
1985 08 07 12,48729.61,0.6,380.9,30.4,19.51,2280.4,33,33,,,28
1985 08 08 12,48409.41,3.61,271.94,30.06,20.5,2400,28,28,,,28
1985 08 09 12,48383.99,1.92,304.67,28.64,20.74,2437.61,28,28,,,25
1985 08 10 12,48383.99,0.11,388.03,31.04,20.51,2401.18,25,25,,,19
1985 08 11 12,48152.71,0,454.48,33.1,19.5,2280,19,19,,,19
1985 08 12 12,48038.4,0,437.55,33.67,20.67,2426.94,19,19,,,20
1985 08 13 12,48038.4,0,463.23,33.65,19.43,2269.04,20,20,,,18
1985 08 14 12,47872.24,0,467.04,33.51,19.09,2214.57,18,18,,,14
1985 08 15 12,47692.81,0,472.56,33.06,18.45,2116.33,14,14,,,15
1985 08 16 12,47692.81,0,447.25,32.97,19.57,2285.37,15,15,,,13
1985 08 17 12,47592.43,0.02,414.74,33.64,21.37,2538.91,13,13,,,7.1
1985 08 18 12,47347.21,13.05,280.89,31.8,21.5,2559.91,7.1,7.1,,,8.2
1985 08 19 12,47347.21,0,435.37,31.5,18.99,2198.17,8.2,8.2,,,11
1985 08 20 12,47246.78,0,454.68,33.41,19.5,2279.5,11,11,,,28
1985 08 21 12,47001.61,0,436.88,33.77,20.56,2409.26,28,28,,,20
1985 08 22 12,47001.61,0,472.6,33.49,18.43,2115.12,20,20,,,15
1985 08 23 12,46770.35,0,415.59,30.08,18.41,2113.07,15,15,,,13
1985 08 24 12,46656,0,340.33,27.94,19.08,2211.91,13,13,,,11
1985 08 25 12,46656,24.19,299.01,30.64,19.36,2256.85,11,11,,,22
1985 08 26 12,46316.02,11.28,249.38,29.1,20.23,2358.74,22,22,,,694
1985 08 27 12,46310.4,0.96,382.8,29.47,18.5,2126.72,694,694,,,189
1985 08 28 12,46310.4,0,414.96,31.33,19.01,2202.45,189,189,,,85
1985 08 29 12,45964.79,0,333.86,29.1,20,2320.1,85,85,,,58
1985 08 30 12,45964.79,11.54,275.24,30.28,20,2320.57,58,58,,,84
1985 08 31 12,45964.79,25.23,285.87,29.52,18.7,2152.84,84,84,,,197
1985 09 01 12,45619.18,0,392.33,29.98,18.64,2142.03,197,197,,,168
1985 09 02 12,45619.18,5.55,328.12,30.43,18.94,2190.59,168,168,,,102
1985 09 03 12,45616.5,0.13,398.13,31.34,19.45,2272.24,102,102,,,76
1985 09 04 12,45273.6,0,395.73,32.4,20.37,2379.1,76,76,,,54
1985 09 05 12,45273.6,0,408.12,33.13,20.33,2372.56,54,54,,,44
1985 09 06 12,44927.99,0,416.77,33.73,20.22,2355.63,44,44,,,43
1985 09 07 12,44927.99,0,423.32,33.5,19.55,2284.22,43,43,,,37
1985 09 08 12,44927.99,0,418.83,34.2,20.03,2324.87,37,37,,,34
1985 09 09 12,44582.39,0,409.38,34.34,20.44,2390.98,34,34,,,40
1985 09 10 12,44582.39,0,405.38,34.31,20.53,2405.39,40,40,,,24
1985 09 11 12,44582.39,0,410.19,34.39,20.23,2356.09,24,24,,,17
1985 09 12 12,44236.83,0,381.09,32.88,20.45,2392.94,17,17,,,13
1985 09 13 12,44236.83,0,362.83,26.88,16.3,1848.63,13,13,,,13
1985 09 14 12,43891.2,0,465.8,22.16,7.54,1042.99,13,13,,,10
1985 09 15 12,43891.2,0,466.4,22.92,7.94,1075.01,10,10,,,8.8
1985 09 16 12,43891.2,0,478.26,25.09,8.61,1128.86,8.8,8.8,,,9.1
1985 09 17 12,43545.6,0,485.02,26.88,8.98,1158.71,9.1,9.1,,,14
1985 09 18 12,43545.6,0,479.54,28,9.88,1230.64,14,14,,,14
1985 09 19 12,43545.6,0,466.41,28.7,11.19,1335.31,14,14,,,5.3
1985 09 20 12,43199.98,0,453.86,29.57,12.46,1436.9,5.3,5.3,,,5
1985 09 21 12,43199.98,0,424.06,29.45,14.21,1616.84,5,5,,,5.2
1985 09 22 12,42854.39,0,386.7,28.12,14.98,1717.42,5.2,5.2,,,5.4
1985 09 23 12,42854.39,0,430.63,30.42,14,1600,5.4,5.4,,,5.6
1985 09 24 12,42854.39,6.26,300.58,30,15.4,1751.51,5.6,5.6,,,5.6
1985 09 25 12,42508.8,0,326.47,29.23,18,2079.19,5.6,5.6,,,5.9
1985 09 26 12,42508.8,0,348.01,29.29,17.01,1922.98,5.9,5.9,,,5.8
1985 09 27 12,42508.8,0,398.16,27.73,13.09,1497.11,5.8,5.8,,,5.6
1985 09 28 12,42163.22,0,453.95,24.77,6.5,960,5.6,5.6,,,5.6
1985 09 29 12,42163.22,0,448.28,25.55,7.09,1006.92,5.6,5.6,,,5.6
1985 09 30 12,41817.61,0,431.42,27.24,9.37,1189.28,5.6,5.6,,,5.6
1985 10 01 12,41817.61,0,401.55,28.69,12.27,1421.64,5.6,5.6,,,6
1985 10 02 12,41817.61,94.04,232.67,28.22,16.59,1887.23,6,6,,,4110
1985 10 03 12,41471.98,11.7,164.84,26.06,18.24,2099.55,4110,4110,,,872
1985 10 04 12,41471.98,46.6,185.77,28.63,19.48,2276.64,872,872,,,5590
1985 10 05 12,41471.98,0,275.03,27.82,17.67,2027.74,5590,5590,,,2080
1985 10 06 12,41126.39,0,433.81,24.13,5.38,908.17,2080,2080,,,399
1985 10 07 12,41126.39,0,401.17,20.92,5,880,399,399,,,220
1985 10 08 12,40783.48,0,396.74,22.07,6.04,923.04,220,220,,,141
1985 10 09 12,40780.8,0,328.85,22.59,10.25,1259.62,141,141,,,98
1985 10 10 12,40780.8,0,339.08,26.3,12.79,1467.05,98,98,,,78
1985 10 11 12,40435.21,0,324.84,27.4,14.39,1644.56,78,78,,,64
1985 10 12 12,40435.21,0,335.18,29.41,15.31,1737.32,64,64,,,56
1985 10 13 12,40435.21,0,322.92,29.19,15.63,1773.46,56,56,,,48
1985 10 14 12,40089.6,0,301.41,29.13,16.63,1890.6,48,48,,,41
1985 10 15 12,40089.6,0,318.1,30.84,17.05,1927.83,41,41,,,34
1985 10 16 12,40083.98,0,286.07,30.4,18.36,2108.52,34,34,,,27
1985 10 17 12,39743.98,0.09,247.21,25.82,16.28,1843.33,27,27,,,25
1985 10 18 12,39743.98,0,263.56,26.11,15.92,1793.36,25,25,,,26
1985 10 19 12,39629.68,0,304.87,26.78,14.54,1645.62,26,26,,,21
1985 10 20 12,39398.4,0,326.6,27.81,14.16,1616.59,21,21,,,20
1985 10 21 12,39398.4,0,321.71,28.19,14.65,1672.33,20,20,,,23
1985 10 22 12,39218.96,20.39,189.47,20.84,11.6,1368.1,23,23,,,39
1985 10 23 12,39052.82,39.77,107.13,17.26,12.47,1437.79,39,39,,,1270
1985 10 24 12,39052.82,1.39,152.96,20.8,15.12,1728.64,1270,1270,,,438
1985 10 25 12,38807.61,0,290.7,25.54,14.23,1618.67,438,438,,,188
1985 10 26 12,38707.19,0,289.77,25.87,14.47,1638.07,188,188,,,113
1985 10 27 12,38707.19,1.41,254.71,22.75,12.15,1412.36,113,113,,,80
1985 10 28 12,38527.77,6.29,157.45,20.19,12.96,1481.53,80,80,,,64
